"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F","1","Sam🗻🥃","28","100","9.8",".466","3.2",".350",".854","30.1","1.1","7.7","4.6","1.1","0.7","2.9","1.61"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F","2","SaraS","24","98.08","8.9",".459","2.7",".369",".756","24.6","0.6","5.2","4.4","1.6","0.7","3.3","1.35"
"*04qrn*","Mikal Bridges","PHO/BKN","SG,G,SF,PF,F","3","Dcks","29","97.55","7.1",".468","2.0",".382",".895","20.1","1.0","3.4","3.3","1.1","0.7","1.5","2.15"
"*04kj6*","Luka Doncic","DAL","PG,SG,G","4","LRBP","27","96.76","10.9",".496","2.8",".342",".742","32.4","0.8","7.8","8.0","1.4","0.5","3.6","2.24"
"*027p0*","Nikola Vucevic","CHI","C","5","Dcks","35","96.4","7.3",".520","1.5",".349",".835","17.6","1.9","9.1","3.2","0.7","0.7","1.7","1.91"
"*03ajv*","Julius Randle","NY","PF,F","6","KamiGR","31","96.14","8.5",".459","2.8",".343",".757","25.1","1.8","8.1","4.1","0.6","0.3","2.8","1.46"
"*03e75*","Nikola Jokic","DEN","C","7","Yarrrr","31","95.41","9.4",".632","0.8",".383",".822","24.5","2.4","9.4","9.8","1.3","0.7","3.6","2.74"
"*03el5*","Kristaps Porzingis","WAS","PF,F,C","8","Sam🗻🥃","30","95.24","7.8",".498","2.1",".385",".851","23.2","1.8","6.6","2.7","0.9","1.5","2.1","1.27"
"*03al2*","Joel Embiid","PHI","C","9","Brid","32","94.86","11.0",".548","1.0",".330",".857","33.1","1.7","8.4","4.2","1.0","1.7","3.4","1.21"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G","10","Tzokos","29","94.2","10.0",".484","3.6",".386",".867","28.3","0.9","3.3","4.4","1.5","0.4","2.6","1.67"
"*042nm*","Pascal Siakam","TOR","SF,PF,F,C","11","PNB","31","93.93","8.9",".480","1.3",".324",".774","24.2","1.8","6.0","5.8","0.9","0.5","2.4","2.46"
"*04848*","Fred VanVleet","TOR","PG,SG,G","12","Dcks","32","92.75","6.3",".393","3.0",".342",".898","19.3","0.4","3.6","7.2","1.8","0.6","2.0","3.54"
"*031lx*","CJ McCollum","NO","PG,SG,G","13","Goat","34","92.55","7.8",".437","2.8",".389",".769","20.9","0.7","3.6","5.7","0.9","0.5","2.4","2.34"
"*027oj*","Kyrie Irving","BKN/DAL","PG,SG,G","14","zambo","34","92.16","9.9",".494","3.1",".379",".905","27.1","1.0","4.1","5.5","1.1","0.8","2.1","2.59"
