"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"027p0","Nikola Vucevic","ORL/CHI","PF,F,C","1","Johnny","35","100","9.5",".477","2.5",".400",".840","23.4","2.1","9.6","3.8","0.9","0.7","1.8","2.13"
"03e75","Nikola Jokic","DEN","PF,F,C","2","Johnny","31","99.96","10.2",".566","1.3",".388",".868","26.4","2.8","8.0","8.3","1.3","0.7","3.1","2.70"
"04kj6","Luka Doncic","DAL","PG,G,SF,F","3","Brid","27","94.8","9.8",".479","2.9",".350",".730","27.7","0.8","7.2","8.6","1.0","0.5","4.3","2.02"
"03ajv","Julius Randle","NY","PF,F,C","4","DOGS","31","94.09","8.5",".456","2.3",".411",".811","24.1","1.2","9.0","6.0","0.9","0.3","3.4","1.77"
"031m2","Giannis Antetokounmpo","MIL","SF,PF,F,C","5","DOGS","31","93.93","10.3",".569","1.1",".303",".685","28.1","1.6","9.4","5.9","1.2","1.2","3.4","1.72"
"03xmv","Jayson Tatum","BOS","SF,PF,F","6","Sam🗻🥃","28","93.49","9.5",".459","2.9",".386",".868","26.4","0.8","6.6","4.3","1.2","0.5","2.7","1.61"
"03ad3","Karl-Anthony Towns","MIN","C","7","zambo","30","92.06","8.5",".486","2.4",".387",".859","24.8","2.7","7.9","4.5","0.8","1.1","3.2","1.41"
"03nwl","Terry Rozier","CHA","PG,SG,G","8","Tzokos","32","91.63","7.4",".450","3.2",".389",".817","20.4","0.7","3.7","4.2","1.3","0.4","1.9","2.29"
"02ym0","Andrew Wiggins","GS","SG,G,SF,PF,F","9","SaraS","31","91.6","7.1",".477","2.0",".380",".714","18.6","1.2","3.7","2.4","0.9","1.0","1.8","1.33"
"005kc","Russell Westbrook","WAS","PG,G","10","Johnny","37","91.24","8.4",".439","1.3",".315",".656","22.2","1.7","9.9","11.7","1.4","0.4","4.8","2.45"
"01enh","Stephen Curry","GS","PG,SG,G","11","erUP","38","90.7","10.4",".482","5.3",".421",".916","32.0","0.5","5.0","5.8","1.2","0.1","3.4","1.70"
"031m0","Kelly Olynyk","MIA/HOU","PF,F,C","12","Devs","34","90.67","4.8",".484","1.8",".342",".829","13.5","1.2","5.7","2.9","1.1","0.6","1.8","1.61"
"027oj","Kyrie Irving","BKN","PG,SG,G","13","Johnny","34","90.28","10.2",".506","2.8",".402",".922","26.9","1.0","3.8","6.0","1.4","0.7","2.4","2.49"
"02nf6","Damian Lillard","POR","PG,G","14","Goat","35","90.26","9.0",".451","4.1",".391",".927","28.7","0.5","3.7","7.5","0.9","0.3","3.0","2.49"
"05qug","Anthony Edwards","MIN","PG,SG,G,SF,F","15","SaraS","24","90.24","7.0",".417","2.4",".329",".776","19.3","0.8","3.8","2.9","1.1","0.5","2.2","1.32"
"04qrn","Mikal Bridges","PHO","SG,G,SF,F","16","SaraS","29","89.57","5.0",".543","1.9",".425",".840","13.5","1.1","3.2","2.1","1.1","0.9","0.8","2.67"
"02ng3","Khris Middleton","MIL","SG,G,SF,F","17","erUP","34","89.47","7.5",".476","2.2",".414",".898","20.4","0.8","5.2","5.4","1.1","0.1","2.6","2.08"
"042n7","Domantas Sabonis","IND","PF,F,C","18","Tzokos","29","89.27","7.8",".535","0.8",".321",".732","20.3","2.4","9.5","6.7","1.2","0.5","3.4","1.95"
"03lls","Jaylen Brown","BOS","SG,G,SF,F","19","Tzokos","29","89.11","9.3",".484","2.8",".397",".764","24.7","1.2","4.8","3.4","1.2","0.6","2.7","1.23"
"04848","Fred VanVleet","TOR","PG,SG,G","20","Tzokos","32","88.54","6.5",".389","3.3",".366",".885","19.6","0.6","3.6","6.3","1.7","0.7","1.8","3.45"
"027p4","Tobias Harris","PHI","SF,PF,F","21","Johnny","33","87.93","7.6",".512","1.3",".394",".892","19.5","1.0","5.8","3.5","0.9","0.8","1.7","2.06"
"027oz","Kawhi Leonard","LAC","SG,G,SF,F","22","erUP","34","87.63","8.9",".512","1.9",".398",".885","24.8","1.1","5.4","5.2","1.6","0.4","2.0","2.56"
"02nf3","Bradley Beal","WAS","SG,G","23","DOGS","32","87.55","11.2",".485","2.2",".349",".889","31.3","1.2","3.5","4.4","1.1","0.4","3.1","1.42"
"01uyj","Paul George","LAC","SF,PF,F","24","Guns","35","87.44","8.2",".467","3.2",".411",".868","23.3","0.8","5.8","5.2","1.1","0.4","3.3","1.56"
"051os","P.J. Washington","CHA","SF,PF,F,C","25","DЯ","27","87.41","4.7",".440","1.8",".386",".745","12.9","1.5","5.1","2.5","1.1","1.2","2.0","1.26"
