"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"*03e75*","Nikola Jokic","DEN","C","1","Yarrrr","31","100","11.2",".576","2.0",".417",".800","29.6","2.9","9.9","10.2","1.8","0.6","3.3","3.11"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G","2","Guns","27","97.3","11.3",".519","2.1",".375",".898","32.7","0.9","4.1","6.4","1.7","1.0","2.4","2.66"
"*01eo6*","James Harden","LAC","PG,SG,G","3","Sam🗻🥃","36","95.76","6.7",".410","3.0",".352",".874","22.8","0.7","5.1","8.7","1.5","0.7","4.3","2.01"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F","4","Moustach","24","94.93","9.1",".447","4.1",".395",".837","27.6","0.8","4.9","4.5","1.2","0.6","3.2","1.44"
"*03ad3*","Karl-Anthony Towns","NY","PF,F,C","5","aris","30","94.43","8.9",".526","2.0",".420",".829","24.4","2.9","9.8","3.1","1.0","0.7","2.7","1.16"
"*04qrj*","Jaren Jackson","MEM","PF,F,C","6","LRBP","26","93.29","8.0",".488","2.0",".375",".781","22.2","1.2","4.4","2.0","1.2","1.5","2.1","0.97"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F","7","Moustach","28","93.27","9.2",".452","3.5",".343",".814","26.8","0.7","8.0","6.0","1.1","0.5","2.9","2.06"
"*04ewf*","Bam Adebayo","MIA","PF,F,C","8","Sam🗻🥃","28","93.27","6.9",".485","1.0",".357",".765","18.1","2.4","7.2","4.3","1.3","0.7","2.1","2.09"
"*027p0*","Nikola Vucevic","CHI","C","9","Thad","35","92.45","7.5",".530","1.8",".402",".805","18.5","2.4","7.6","3.5","0.8","0.7","1.6","2.15"
"*042nm*","Pascal Siakam","IND","PF,F,C","10","Devs","31","92.16","7.9",".519","1.6",".389",".734","20.2","1.7","5.2","3.4","0.9","0.5","1.4","2.41"
"*04ewn*","OG Anunoby","NY","SG,G,SF,PF,F","11","SaraS","28","92.09","6.6",".476","2.3",".372",".810","18.0","1.3","3.5","2.2","1.5","0.9","1.4","1.61"
"*04ewt*","Derrick White","BOS","PG,SG,G","12","Thad","31","91.88","5.6",".442","3.5",".384",".839","16.4","0.9","3.6","4.8","0.9","1.1","1.7","2.76"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G","13","zambo","26","91.63","6.5",".473","3.0",".388",".851","18.6","0.6","3.0","9.2","1.4","0.7","1.6","5.61"
"*05uid*","Evan Mobley","CLE","PF,F,C","14","Tzokos","24","90.31","7.1",".557","1.2",".370",".725","18.5","2.3","7.0","3.2","0.9","1.6","2.0","1.56"
