"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"*05qub*","Isaiah Stewart","DET","PF,F,C","204","HER","24","60.09","4.0",".487","1.5",".383",".753","10.9","1.6","5.0","1.6","0.4","0.8","1.4","1.11"
"*0621u*","Andrew Nembhard","IND","PG,SG,G","205","KamiGR","26","59.79","3.8",".498","0.9",".357",".804","9.2","0.5","1.5","4.1","0.9","0.1","1.5","2.77"
"*027ov*","Alec Burks","DET/NY","SG,G,SF,F","206","HER","34","59.71","3.2",".369","1.9",".376",".868","10.4","0.4","1.9","1.3","0.4","0.2","0.7","1.83"
"*042nw*","Malcolm Brogdon","POR","PG,SG,G","207","Thad","33","59.65","5.6",".440","2.1",".412",".819","15.7","0.7","3.1","5.5","0.7","0.2","1.5","3.57"
"*03r7e*","Cameron Payne","MIL/PHI","PG,G","208","FA","31","59.38","2.7",".432","1.3",".390",".866","7.4","0.3","1.2","2.6","0.5","0.1","0.8","3.11"
"*03r7v*","Pat Connaughton","MIL","SG,G,SF,F","209","FA","33","59.14","2.0",".435","1.1",".345",".759","5.6","0.7","2.5","2.1","0.5","0.3","0.6","3.29"
"*06ccv*","Trayce Jackson-Davis","GS","PF,F,C","210","PNB","26","58.48","3.4",".702","0.0",".000",".561","7.9","2.0","3.0","1.2","0.4","1.1","0.7","1.67"
"*06ccg*","Marcus Sasser","DET","PG,G","211","aris","25","58.48","3.1",".428","1.3",".375",".879","8.3","0.2","1.6","3.3","0.6","0.2","1.3","2.62"
"*06217*","Dyson Daniels","NO","PG,SG,G","212","erUP","23","57.92","2.3",".447","0.7",".311",".642","5.8","1.0","2.9","2.7","1.4","0.4","1.0","2.78"
"*0621j*","Malaki Branham","SA","PG,SG,G,SF,F","213","erUP","22","57.73","3.6",".432","1.2",".347",".873","9.2","0.4","1.6","2.1","0.4","0.1","1.2","1.71"
"*051p0*","Matisse Thybulle","POR","SG,G,SF,F","214","Tzokos","29","57.46","1.9",".397","1.2",".346",".759","5.4","0.5","1.6","1.4","1.7","0.8","0.6","2.25"
"*03r7l*","Larry Nance","NO","PF,F,C","215","FA","33","57.44","2.3",".573","0.4",".415",".770","5.7","1.5","3.5","1.9","1.0","0.3","0.8","2.31"
"*005l0*","Nicolas Batum","LAC/PHI","SF,PF,F,C","216","Sam🗻🥃","37","57.38","1.9",".453","1.2",".395",".714","5.3","1.2","3.0","2.1","0.8","0.6","0.7","3.20"
"*05uja*","Miles McBride","NY","PG,G","217","PNB","25","57.34","3.0",".452","1.6",".410",".860","8.3","0.5","1.0","1.7","0.7","0.1","0.4","3.80"
"*05qzh*","Naji Marshall","NO","SG,G,SF,F","218","HER","28","57.3","2.6",".463","0.9",".387",".791","7.1","0.8","2.8","1.9","0.7","0.2","1.0","1.97"
"*05ujk*","Dalano Banton","BOS/POR","PG,G,SF,F","219","Guns","26","56.69","3.7",".404","1.1",".296",".783","10.3","0.8","2.5","2.4","0.6","0.4","1.4","1.65"
"*051pq*","Talen Horton-Tucker","UTA","PG,SG,G,SF,F","220","Tzokos","25","56.64","3.6",".396","1.2",".330",".807","10.1","0.4","2.0","3.5","0.9","0.4","1.3","2.72"
"*06cc8*","Dereck Lively","DAL","C","221","Tzokos","22","56.6","4.0",".747","0.0",".000",".506","8.8","2.5","4.4","1.1","0.7","1.4","0.9","1.20"
"*05ujt*","Aaron Wiggins","OKC","SG,G,SF,F","222","FA","27","56.57","2.7",".562","0.8",".492",".789","6.9","0.8","1.6","1.1","0.7","0.2","0.7","1.54"
"*04ewb*","Jonathan Isaac","ORL","SF,PF,F","223","aris","28","56.46","2.5",".510","0.7",".375",".720","6.8","1.3","3.2","0.5","0.7","1.2","0.5","1.11"
"*0621d*","Ochai Agbaji","UTA/TOR","SG,G","224","Tzokos","25","56.34","2.3",".411","0.8",".294",".661","5.8","0.9","1.8","1.1","0.6","0.6","0.8","1.30"
"*05uj3*","Day'Ron Sharpe","BKN","C","225","erUP","24","55.84","2.8",".571","0.1",".267",".610","6.8","2.6","3.7","1.4","0.4","0.7","1.1","1.21"
"*05uio*","Moses Moody","GS","SG,G,SF,F","226","Tzokos","23","55.83","2.9",".462","1.1",".360",".785","8.1","1.0","2.0","0.9","0.6","0.4","0.7","1.30"
"*042n2*","Kris Dunn","UTA","PG,SG,G","227","Guns","32","55.75","2.2",".470","0.6",".369",".688","5.4","0.8","2.1","3.8","1.0","0.4","1.2","3.22"
"*05ux3*","Jordan Goodwin","PHO/BKN/MEM","PG,G","228","Yarrrr","27","55.73","2.5",".369","0.7",".298",".746","6.5","1.5","2.9","2.7","0.8","0.3","1.0","2.77"
"*03r7m*","Cedi Osman","SA","SF,PF,F","229","FA","30","55.51","2.6",".479","1.2",".389",".673","6.8","0.3","2.2","1.7","0.5","0.2","0.7","2.53"
"*03ad5*","Trey Lyles","SAC","PF,F,C","230","FA","30","55.51","2.5",".445","1.4",".384",".700","7.2","1.1","3.4","1.2","0.3","0.3","0.7","1.89"
"*01uz7*","Gordon Hayward","CHA/OKC","SG,G,SF,F","231","FA","36","55.39","3.7",".464","0.7",".411",".742","9.8","0.7","2.8","3.1","0.8","0.3","1.3","2.39"
"*04yk1*","Haywood Highsmith","MIA","SF,PF,F","232","FA","29","55.26","2.3",".465","1.2",".396",".639","6.1","1.0","2.2","1.1","0.8","0.5","0.5","2.06"
"*05qti*","Josh Green","DAL","SG,G,SF,F","233","FA","25","55.08","3.1",".479","1.3",".385",".684","8.2","0.7","2.5","2.3","0.8","0.2","1.1","2.17"
"*04qs0*","Aaron Holiday","HOU","PG,G","234","FA","29","54.87","2.4",".446","1.1",".387",".921","6.6","0.3","1.3","1.8","0.5","0.1","0.7","2.64"
"*04qsm*","De'Anthony Melton","PHI","PG,SG,G","235","Guns","27","54.8","3.7",".386","2.0",".360",".835","11.1","0.7","3.0","3.0","1.6","0.4","1.0","2.92"
"*049ki*","Marvin Bagley","DET/WAS","PF,F,C","236","Goat","27","54.62","4.8",".586","0.2",".391",".762","11.7","2.6","3.6","1.1","0.4","0.7","1.2","0.93"
"*05qto*","LaMelo Ball","CHA","PG,SG,G","237","Brid","24","54.55","8.3",".433","3.2",".355",".865","23.9","1.3","3.8","8.0","1.8","0.2","3.8","2.12"
"*03ad7*","Kevon Looney","GS","PF,F,C","238","FA","30","54.49","1.9",".597","0.0",".000",".675","4.5","1.9","3.7","1.8","0.4","0.4","0.7","2.66"
"*001ax*","Jeff Green","HOU","PF,F","239","FA","39","54.31","2.1",".456","0.7",".331",".819","6.5","0.6","1.7","0.9","0.2","0.4","0.6","1.52"
"*05qtb*","Sam Merrill","CLE","SG,G","240","FA","29","53.93","2.6",".402","2.3",".404",".929","8.0","0.4","1.6","1.8","0.3","0.1","0.3","5.68"
"*049s5*","Dennis Smith","BKN","PG,G","241","erUP","28","53.61","2.6",".435","0.6",".294",".741","6.6","0.9","2.0","3.6","1.2","0.2","1.2","2.99"
"*04qrv*","Lonnie Walker","BKN","SG,G,SF,F","242","LRBP","27","53.59","3.6",".423","1.8",".384",".763","9.7","0.2","2.0","1.3","0.6","0.3","0.9","1.45"
"*04hoo*","Daniel Theis","IND/LAC","C","243","FA","33","53.38","2.6",".532","0.4",".366",".760","6.3","1.4","2.6","1.0","0.3","0.8","0.7","1.45"
"*05qsl*","Patrick Williams","CHI","PF,F","244","Johnny","24","53.24","3.7",".443","1.4",".399",".788","10.0","1.1","2.8","1.5","0.9","0.8","1.3","1.16"
"*051oy*","Goga Bitadze","ORL","C","245","FA","26","53.2","2.0",".603","0.0",".143",".655","5.0","1.8","2.9","1.3","0.5","1.2","0.7","1.80"
"*04xdu*","Drew Eubanks","PHO","C","246","Johnny","29","53.12","2.0",".601","0.0","1.000",".774","5.1","1.4","2.9","0.8","0.4","0.8","0.8","1.03"
"*06ca7*","Cam Whitmore","HOU","SF,PF,F","247","TBB","21","53.05","4.5",".454","1.7",".359",".679","12.3","0.9","2.9","0.7","0.6","0.4","1.0","0.72"
"*06ca5*","Kris Murray","POR","SF,F","248","Brid","25","52.88","2.3",".396","0.8",".268",".661","6.1","1.4","2.2","1.3","0.9","0.3","0.9","1.45"
"*05uul*","Jose Alvarado","NO","PG,G","249","FA","27","52.79","2.5",".412","1.4",".377",".673","7.1","0.4","1.8","2.1","1.1","0.3","0.7","2.92"
"*06ca9*","Jordan Hawkins","NO","SG,G","250","Johnny","23","52.57","2.6",".382","1.6",".366",".838","7.8","0.4","1.8","1.0","0.3","0.1","0.6","1.75"
"*05293*","John Konchar","MEM","SG,G,SF,F","251","FA","30","52.57","1.6",".423","0.7",".317",".840","4.3","1.3","3.4","2.0","0.9","0.9","0.8","2.39"
"*059g0*","Amir Coffey","LAC","SG,G,SF,PF,F","252","FA","28","51.82","2.4",".472","1.0",".380",".859","6.6","0.4","1.7","1.1","0.6","0.2","0.5","2.30"
"*0621x*","Jaylin Williams","OKC","PF,F,C","253","FA","23","51.81","1.4",".417","0.8",".368",".805","4.0","0.5","2.9","1.6","0.4","0.4","0.5","3.24"
"*06216*","Shaedon Sharpe","POR","SG,G,SF,F","254","prl","22","51.7","5.5",".406","1.9",".333",".824","15.9","1.3","3.7","2.9","0.9","0.4","2.3","1.31"
"*06220*","Jaden Hardy","DAL","SG,G,SF,F","255","KamiGR","23","51.58","2.7",".407","1.1",".362",".776","7.3","0.3","1.5","1.5","0.3","0.1","0.8","1.76"
"*04jwb*","Luke Kornet","BOS","C","256","FA","30","51.4","2.3",".700","0.0","1.000",".907","5.3","1.9","2.3","1.1","0.4","1.0","0.3","3.19"
"*04ewd*","Luke Kennard","MEM","SG,G","257","Yarrrr","29","50.99","3.6",".448","2.7",".450",".889","11.0","0.3","2.6","3.5","0.5","0.1","1.4","2.52"
"*05qtf*","Xavier Tillman","MEM/BOS","PF,F,C","258","FA","27","50.5","2.2",".434","0.4",".247",".440","5.3","1.3","2.6","1.4","0.9","0.8","0.6","2.26"
"*03acx*","Dante Exum","DAL","PG,SG,G","259","FA","30","50.47","2.9",".533","1.0",".491",".779","7.8","0.5","2.3","2.9","0.4","0.1","0.9","3.20"
"*05uiw*","Isaiah Jackson","IND","PF,F,C","260","HER","24","50.36","2.6",".665","0.0",".000",".716","6.4","1.6","2.4","0.8","0.6","1.0","0.7","1.28"
"*05uis*","Tre Mann","OKC/CHA","PG,G","261","LRBP","25","50.26","3.5",".459","1.1",".373",".763","9.3","0.5","3.1","4.0","1.2","0.1","1.6","2.54"
"*06cc2*","Gradey Dick","TOR","SG,G,SF,F","262","SaraS","22","50.12","3.1",".425","1.5",".365",".863","8.5","0.5","1.8","1.1","0.6","0.0","0.8","1.36"
"*03kqi*","Joe Ingles","ORL","SF,F","263","FA","38","50.03","1.5",".436","1.0",".435",".824","4.4","0.3","1.8","3.0","0.6","0.1","1.0","3.03"
"*05uuv*","Trendon Watford","BKN","PF,F,C","264","FA","25","49.88","2.6",".527","0.4",".397",".794","6.9","0.8","2.3","1.3","0.4","0.3","1.0","1.29"
"*0529c*","Dean Wade","CLE","PF,F","265","FA","29","49.82","1.8",".414","1.5",".391",".769","5.4","0.7","3.4","0.8","0.7","0.5","0.4","2.15"
"*03r7u*","Josh Richardson","MIA","PG,SG,G","266","FA","32","49.74","3.6",".444","1.5",".347",".944","9.9","0.4","2.4","2.4","0.6","0.3","0.8","2.92"
"*0621m*","David Roddy","MEM/PHO","SF,PF,F","267","FA","25","49.68","2.5",".403","0.7",".293",".691","6.5","0.8","2.4","1.2","0.4","0.2","0.9","1.40"
"*05qu1*","James Wiseman","DET","C","268","prl","24","49.58","3.0",".613","0.0",".000",".706","7.1","1.7","3.6","0.9","0.2","0.6","1.0","0.82"
"*04t8w*","Kenrich Williams","OKC","PF,F","269","FA","31","49.52","1.9",".468","0.8",".397",".500","4.7","0.9","2.1","1.3","0.6","0.1","0.5","2.91"
"*03apx*","Gary Harris","ORL","SG,G,SF,F","270","FA","31","49.37","2.4",".441","1.4",".371",".756","6.9","0.4","1.2","1.6","0.9","0.3","0.6","2.81"
"*03e7f*","Vasilije Micic","OKC/CHA","PG,G","271","zambo","32","49.21","2.6",".430","0.7",".279",".813","7.0","0.2","1.2","4.4","0.5","0.1","1.6","2.65"
"*0623m*","Keon Ellis","SAC","SG,G","272","FA","26","49.17","1.9",".461","1.2",".417",".743","5.4","0.6","1.6","1.5","0.9","0.5","0.6","2.30"
