"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"03ajv","Julius Randle","NY","PF,F,C","13","KamiGR","31","90.99","7.1",".411","1.7",".308",".756","20.1","1.7","8.2","5.1","0.7","0.5","3.4","1.51"
"03nwl","Terry Rozier","CHA","PG,SG,G","14","Tzokos","32","90.72","7.1",".444","3.0",".374",".852","19.3","0.8","3.5","4.5","1.3","0.3","1.3","3.40"
"04848","Fred VanVleet","TOR","PG,SG,G","15","Tzokos","32","90.7","6.8",".403","3.7",".377",".874","20.3","0.7","3.8","6.7","1.7","0.5","2.6","2.55"
"05qt0","Saddiq Bey","DET","SF,F","16","Yarrrr","26","90.67","5.5",".396","2.6",".346",".827","16.1","1.3","4.1","2.8","0.9","0.2","1.2","2.43"
"042nq","Dejounte Murray","SA","PG,SG,G","17","Yarrrr","29","90.01","8.4",".462","1.4",".327",".794","21.1","1.2","7.1","9.2","2.0","0.3","2.6","3.48"
"05qtv","Tyrese Haliburton","SAC/IND","PG,SG,G","18","zambo","26","89.96","5.6",".473","2.1",".414",".842","15.3","0.8","3.2","8.2","1.7","0.6","2.6","3.16"
"01enh","Stephen Curry","GS","PG,SG,G","19","erUP","38","89.82","8.4",".437","4.5",".380",".923","25.5","0.5","4.7","6.3","1.3","0.4","3.2","1.96"
"03nwm","Devin Booker","PHO","SG,G,SF,F","20","PNB","29","89.74","9.7",".466","2.7",".383",".868","26.8","0.7","4.4","4.8","1.1","0.4","2.4","2.03"
"04ewe","Donovan Mitchell","UTA","PG,SG,G","21","Johnny","29","89.46","9.2",".448","3.5",".355",".853","25.9","0.8","3.4","5.3","1.5","0.2","3.0","1.79"
"04qrj","Jaren Jackson","MEM","PF,F,C","22","zambo","26","89.29","5.5",".415","1.6",".319",".823","16.3","1.5","4.3","1.1","0.9","2.3","1.7","0.66"
"01eo6","James Harden","BKN/PHI","PG,SG,G","23","Tzokos","36","88.77","6.3",".410","2.3",".330",".877","22.0","0.8","6.8","10.3","1.3","0.6","4.4","2.35"
"03nwq","Christian Wood","HOU","PF,F,C","24","Yarrrr","30","88.72","6.5",".501","1.9",".390",".623","17.9","1.6","8.5","2.3","0.8","1.0","1.9","1.23"
"04qrk","Trae Young","ATL","PG,G","25","DOGS","27","88.62","9.4",".460","3.1",".382",".904","28.4","0.7","3.1","9.7","0.9","0.1","4.0","2.43"
"05qt3","Desmond Bane","MEM","PG,SG,G,SF,F","26","Thad","27","87.89","6.7",".461","3.0",".436",".903","18.2","0.6","3.8","2.7","1.2","0.4","1.5","1.87"
"02ym0","Andrew Wiggins","GS","SG,G,SF,F","27","Sam🗻🥃","31","86.64","6.5",".466","2.2",".393",".634","17.2","1.2","3.3","2.2","1.0","0.7","1.5","1.45"
"027oo","Jonas Valanciunas","NO","C","28","Tzokos","33","86.45","6.9",".544","0.8",".361",".820","17.8","3.1","8.3","2.6","0.6","0.8","2.4","1.06"
"05uie","Scottie Barnes","TOR","SF,PF,F","29","Sam🗻🥃","24","86.29","6.2",".492","0.8",".301",".735","15.3","2.6","4.9","3.5","1.1","0.7","1.8","1.88"
"005kc","Russell Westbrook","LAL","PG,G","30","erUP","37","86.03","7.0",".444","1.0",".298",".667","18.5","1.4","6.0","7.1","1.0","0.3","3.8","1.86"
"027p4","Tobias Harris","PHI","SF,PF,F","31","DЯ","33","85.98","6.8",".482","1.4",".367",".842","17.2","1.1","5.7","3.5","0.6","0.6","1.6","2.17"
"01eo9","Jrue Holiday","MIL","PG,SG,G","32","Johnny","35","85.94","7.1",".501","2.0",".411",".761","18.3","1.0","3.5","6.8","1.6","0.4","2.7","2.50"
"001aw","Kevin Durant","BKN","SF,PF,F,C","33","Goat","37","85.84","10.5",".518","2.1",".383",".910","29.9","0.5","6.9","6.4","0.9","0.9","3.5","1.84"
"03lls","Jaylen Brown","BOS","SG,G,SF,F","34","Guns","29","85.79","8.7",".473","2.5",".358",".758","23.6","0.8","5.3","3.5","1.1","0.3","2.7","1.30"
"04qrn","Mikal Bridges","PHO","SG,G,SF,F","35","SaraS","29","85.77","5.6",".534","1.4",".369",".834","14.2","0.9","3.3","2.3","1.2","0.4","0.8","2.72"
"02ng3","Khris Middleton","MIL","SF,PF,F","36","erUP","34","85.44","6.8",".443","2.5",".373",".890","20.1","0.6","4.8","5.4","1.2","0.3","2.9","1.88"
"04ewr","Kyle Kuzma","WAS","SF,PF,F","37","Devs","30","85.21","6.4",".452","1.9",".341",".712","17.1","1.1","7.4","3.5","0.6","0.9","2.6","1.38"
"042n3","Buddy Hield","SAC/IND","SG,G,SF,F","38","Yarrrr","33","85.17","5.5",".406","3.2",".366",".874","15.6","0.8","3.5","2.8","0.9","0.3","1.9","1.50"
"000zv","Al Horford","BOS","PF,F,C","39","Goat","39","85.13","3.9",".467","1.3",".336",".842","10.2","1.6","6.1","3.4","0.7","1.3","0.9","3.57"
"031lx","CJ McCollum","POR/NO","PG,SG,G","40","Johnny","34","84.86","8.6",".460","2.9",".388",".682","22.1","0.9","3.5","5.1","1.1","0.4","2.0","2.48"
"043ib","Dorian Finney-Smith","DAL","SF,PF,F","41","SaraS","32","84.15","4.1",".471","2.1",".395",".675","11.0","1.5","3.2","1.9","1.1","0.5","1.0","1.88"
"03nwn","Bobby Portis","MIL","PF,F,C","42","zambo","31","84.04","5.8",".479","1.8",".393",".752","14.6","2.5","6.6","1.2","0.7","0.7","1.3","0.96"
"051ol","Darius Garland","CLE","PG,G","43","zambo","26","84.02","8.0",".462","2.6",".383",".892","21.7","0.6","2.7","8.6","1.3","0.1","3.6","2.35"
"051p9","Keldon Johnson","SA","SF,PF,F","44","Kousos","26","83.83","6.3",".466","2.1",".398",".756","17.0","1.1","5.0","2.1","0.8","0.2","1.2","1.72"
"03ams","Zach LaVine","CHI","SG,G,SF,F","45","Yarrrr","31","83.33","8.4",".476","2.8",".389",".853","24.4","0.3","4.3","4.5","0.6","0.3","2.6","1.77"
"051p8","Jordan Poole","GS","PG,SG,G","46","DOGS","26","83.28","6.2",".448","2.8",".364",".925","18.5","0.4","3.0","4.0","0.8","0.3","2.5","1.63"
"027ov","Alec Burks","NY","PG,SG,G,SF,F","47","Johnny","34","83.18","3.5",".391","1.9",".404",".822","11.7","0.6","4.3","3.0","1.0","0.3","1.1","2.63"
"051oi","Ja Morant","MEM","PG,G","48","DЯ","26","82.76","10.2",".493","1.5",".344",".761","27.4","1.4","4.4","6.7","1.2","0.4","3.4","1.96"
"05qsq","Tyrese Maxey","PHI","PG,SG,G","49","Brid","25","82.72","6.4",".485","1.8",".427",".866","17.5","0.3","2.9","4.3","0.7","0.4","1.2","3.65"
"042n7","Domantas Sabonis","IND/SAC","PF,F,C","50","Tzokos","29","82.53","7.1",".573","0.6",".312",".741","18.9","3.2","8.9","5.2","1.0","0.4","3.1","1.66"
"05uii","Franz Wagner","ORL","PG,SG,G,SF,PF,F","51","Kousos","24","82.52","5.8",".468","1.2",".354",".863","15.2","1.1","3.4","2.9","0.9","0.4","1.5","1.94"
"04qro","Shai Gilgeous-Alexander","OKC","PG,SG,G","52","zambo","27","82.5","8.5",".453","1.6",".300",".810","24.5","0.7","4.3","5.9","1.3","0.8","2.8","2.15"
"04ewt","Derrick White","SA/BOS","PG,SG,G","53","Brid","31","82.4","4.5",".421","1.5",".312",".864","13.2","0.5","3.0","4.9","0.9","0.8","1.6","3.08"
"04qse","Gary Trent","TOR","SG,G,SF,F","54","erUP","27","82.38","6.4",".414","3.0",".383",".853","18.3","0.4","2.4","2.0","1.7","0.3","1.0","1.93"
"03al0","Aaron Gordon","DEN","SF,PF,F","55","Tzokos","30","82.2","5.8",".520","1.2",".335",".743","15.0","1.7","4.2","2.5","0.6","0.6","1.8","1.41"
"05uib","Cade Cunningham","DET","PG,SG,G","56","PNB","24","82.08","6.7",".416","1.8",".314",".845","17.4","0.9","4.6","5.6","1.2","0.7","3.7","1.52"
"02nf7","Harrison Barnes","SAC","SF,PF,F","57","DOGS","33","82.05","5.1",".469","1.8",".394",".826","16.4","1.1","4.5","2.4","0.7","0.2","1.5","1.58"
"05uid","Evan Mobley","CLE","SF,PF,F,C","58","Dcks","24","82.01","6.1",".508","0.3",".250",".663","15.0","2.1","6.2","2.5","0.8","1.7","1.9","1.31"
"0015e","Mike Conley","UTA","PG,G","59","KamiGR","38","81.94","4.8",".435","2.3",".408",".796","13.7","0.7","2.4","5.3","1.3","0.3","1.7","3.13"
"01eon","DeMar DeRozan","CHI","SG,G,SF,PF,F","60","erUP","36","81.76","10.2",".504","0.7",".352",".877","27.9","0.7","4.4","4.9","0.9","0.3","2.4","2.07"
"005kd","Kevin Love","CLE","PF,F,C","61","DOGS","37","81.7","4.4",".430","2.5",".392",".838","13.6","1.2","6.1","2.2","0.4","0.2","1.3","1.63"
"03byk","Jordan Clarkson","UTA","PG,SG,G","62","Sam🗻🥃","33","81.6","5.9",".419","2.4",".318",".828","16.0","0.8","2.6","2.5","0.8","0.2","1.6","1.50"
"03nwk","Kelly Oubre Jr.","CHA","SG,G,SF,F","63","TBB","30","81.32","5.4",".440","2.5",".345",".667","15.0","1.0","2.9","1.1","1.0","0.4","0.9","1.25"
"03el5","Kristaps Porzingis","DAL/WAS","PF,F,C","64","Sam🗻🥃","30","81.24","6.9",".459","1.5",".310",".867","20.2","2.0","6.1","2.3","0.7","1.6","1.6","1.47"
"03ad4","D'Angelo Russell","MIN","PG,SG,G","65","DOGS","30","81.2","6.2",".411","2.7",".340",".825","18.1","0.4","2.9","7.1","1.0","0.3","2.5","2.79"
"04qrl","Wendell Carter","ORL","PF,F,C","66","Devs","26","80.87","5.8",".525","1.1",".327",".691","15.0","2.2","8.2","2.8","0.6","0.7","1.9","1.46"
"051oj","RJ Barrett","NY","SG,G,SF,F","67","Kousos","25","80.84","7.0",".408","2.0",".342",".714","20.0","0.9","4.9","3.0","0.6","0.2","2.2","1.38"
"049kf","Mo Bamba","ORL","C","68","TBB","27","80.53","4.2",".480","1.5",".381",".781","10.6","2.1","6.0","1.2","0.5","1.7","1.1","1.10"
"027p9","Reggie Jackson","LAC","PG,SG,G","69","KamiGR","35","80.28","6.4",".392","2.2",".326",".847","16.8","0.5","3.1","4.8","0.7","0.2","2.3","2.08"
"02ng4","Will Barton","DEN","SG,G,SF,F","70","Brid","35","80.2","5.5",".438","2.2",".365",".803","14.7","0.6","4.2","3.9","0.8","0.4","1.8","2.17"
"051ot","Tyler Herro","MIA","PG,SG,G","71","DЯ","26","79.47","7.6",".447","2.7",".399",".868","20.7","0.5","4.5","4.0","0.7","0.1","2.6","1.51"
"04qsa","Jalen Brunson","DAL","PG,SG,G","72","DЯ","29","79.13","6.4",".502","1.2",".373",".840","16.3","0.5","3.4","4.8","0.8","0.0","1.6","3.04"
"05qve","Jae'Sean Tate","HOU","SF,PF,F","73","SaraS","30","78.98","4.7",".498","0.8",".312",".707","11.8","1.7","3.7","2.8","0.9","0.5","1.8","1.60"
"03al1","Marcus Smart","BOS","PG,SG,G","74","Sam🗻🥃","32","78.86","4.2",".418","1.7",".331",".793","12.1","0.6","3.2","5.9","1.7","0.3","2.2","2.62"
"027pe","Jimmy Butler","MIA","SF,PF,F","75","Goat","36","78.73","7.0",".480","0.5",".233",".870","21.4","1.8","4.1","5.5","1.6","0.5","2.1","2.58"
"02nfk","Evan Fournier","NY","SG,G,SF,F","76","Goat","33","78.53","5.0",".417","3.0",".389",".708","14.1","0.4","2.2","2.1","1.0","0.3","1.3","1.63"
"051pa","Kevin Porter","HOU","PG,SG,G,SF,F","77","Kousos","25","78.47","5.5",".415","2.5",".375",".642","15.6","0.7","3.7","6.2","1.1","0.4","3.1","1.96"
"04qsm","De'Anthony Melton","MEM","PG,SG,G","78","zambo","27","78.41","3.8",".404","1.9",".374",".750","10.8","0.9","3.6","2.7","1.4","0.5","1.5","1.73"
"031lv","Kentavious Caldwell-Pope","WAS","PG,SG,G,SF,F","79","Devs","33","78.18","4.7",".435","2.1",".390",".890","13.2","0.5","2.9","1.9","1.1","0.3","1.3","1.49"
"049kc","Malik Monk","LAL","PG,SG,G","80","PNB","28","77.94","5.1",".473","2.3",".391",".795","13.8","0.5","2.9","2.9","0.8","0.4","1.6","1.79"
"05qtl","Cole Anthony","ORL","PG,G","81","Guns","25","77.78","5.5",".391","2.0",".338",".854","16.3","0.5","4.9","5.7","0.7","0.3","2.6","2.17"
"05qtr","Devin Vassell","SA","SG,G,SF,F","82","Dcks","25","77.7","4.6",".427","1.9",".361",".838","12.3","0.6","3.7","1.9","1.1","0.6","0.8","2.34"
"0017e","Chris Paul","PHO","PG,G","83","Johnny","40","77.51","5.6",".493","1.0",".317",".837","14.7","0.3","4.0","10.8","1.9","0.3","2.4","4.59"
"03e6u","Bogdan Bogdanovic","ATL","SG,G,SF,PF,F","84","erUP","33","77.16","5.4",".431","2.7",".368",".843","15.1","0.5","3.5","3.1","1.1","0.2","1.1","2.77"
"05uj9","Herbert Jones","NO","PG,SG,G,SF,PF,F","85","Dcks","27","77.03","3.5",".476","0.7",".337",".840","9.5","1.3","2.5","2.1","1.7","0.8","1.3","1.67"
"042n6","Jakob Poeltl","SA","C","86","Johnny","30","76.96","6.0",".618","0.0","1.000",".495","13.5","3.9","5.5","2.8","0.7","1.7","1.6","1.73"
"04qsb","Devonte' Graham","NO","PG,SG,G","87","SaraS","31","76.86","3.9",".363","2.5",".341",".843","11.9","0.5","1.8","4.2","0.9","0.2","1.4","3.01"
"049kb","De'Aaron Fox","SAC","PG,G","88","Goat","28","76.64","8.7",".473","1.3",".297",".750","23.2","0.4","3.5","5.6","1.2","0.4","2.8","1.96"
"0015b","Kyle Lowry","MIA","PG,G","89","Goat","40","76.51","4.4",".440","2.3",".377",".851","13.4","0.5","4.0","7.5","1.1","0.3","2.7","2.82"
"051ps","Terance Mann","LAC","SG,G,SF,F","90","Sam🗻🥃","29","76.38","4.1",".484","0.9",".365",".780","10.8","1.3","4.0","2.6","0.7","0.3","1.0","2.49"
"04ewf","Bam Adebayo","MIA","PF,F,C","91","Johnny","28","76.2","7.3",".557","0.0",".000",".753","19.1","2.4","7.6","3.4","1.4","0.8","2.6","1.28"
"051os","P.J. Washington","CHA","PF,F,C","92","DЯ","27","75.66","3.8",".470","1.7",".365",".716","10.3","1.3","3.9","2.3","0.9","0.9","1.3","1.79"
"03e6s","Clint Capela","ATL","C","93","Johnny","31","75.64","5.0",".613","0.0",".000",".473","11.1","3.8","8.1","1.2","0.7","1.3","0.6","2.09"
"04azw","Lauri Markkanen","CLE","PF,F,C","94","Dcks","28","75.63","5.1",".445","2.2",".358",".868","14.8","1.0","4.7","1.3","0.7","0.5","0.9","1.50"
"04ewk","John Collins","ATL","PF,F,C","95","zambo","28","75.62","6.3",".526","1.2",".364",".793","16.2","1.7","6.1","1.8","0.6","1.0","1.1","1.63"
"042n1","Brandon Ingram","NO","SG,G,SF,PF,F","96","Devs","28","75.45","8.2",".461","1.3",".327",".826","22.7","0.6","5.2","5.6","0.6","0.5","2.7","2.03"
"051p3","Darius Bazley","OKC","SF,PF,F","97","TBB","25","75.31","4.0",".422","1.2",".297",".688","10.8","1.0","5.3","1.4","0.8","1.0","1.3","1.08"
"038xi","Robert Covington","POR/LAC","SF,PF,F,C","98","Brid","35","75.11","2.9",".420","1.8",".378",".841","8.5","0.8","4.7","1.3","1.5","1.3","1.1","1.23"
"03e74","Spencer Dinwiddie","WAS/DAL","PG,SG,G","99","Kousos","32","75.04","4.6",".416","1.7",".339",".774","13.7","0.7","3.5","5.2","0.7","0.2","1.6","3.33"
"00129","Carmelo Anthony","LAL","SF,PF,F","100","SaraS","41","75.03","4.6",".441","2.2",".375",".830","13.3","0.9","3.3","1.0","0.7","0.8","0.9","1.15"
"04exe","Monte Morris","DEN","PG,SG,G","101","SaraS","30","75","5.0",".484","1.7",".395",".869","12.6","0.4","2.7","4.4","0.7","0.2","1.0","4.27"
"027pg","Bojan Bogdanovic","UTA","SF,PF,F","102","Johnny","36","74.92","6.1",".455","2.6",".387",".858","18.1","0.8","3.4","1.7","0.5","0.0","1.7","1.02"
"05uiq","Alperen Sengun","HOU","PF,F,C","103","Guns","23","74.37","3.5",".474","0.4",".248",".711","9.6","1.9","3.5","2.6","0.8","0.9","2.0","1.28"
"051ow","Chuma Okeke","ORL","PF,F","104","Sam🗻🥃","27","74.23","3.1",".376","1.7",".318",".846","8.6","0.7","4.3","1.7","1.4","0.6","0.8","2.07"
"02nf1","Anthony Davis","LAL","PF,F,C","105","Brid","33","74.21","9.3",".532","0.3",".186",".713","23.2","2.6","7.2","3.0","1.2","2.3","2.0","1.49"
"05uic","Jalen Green","HOU","PG,SG,G","106","Dcks","24","74.17","6.1",".426","2.3",".343",".797","17.3","0.5","2.9","2.6","0.7","0.3","2.0","1.30"
"051or","Cameron Johnson","PHO","SF,PF,F","107","Tzokos","30","74.04","4.2",".460","2.5",".425",".860","12.5","0.6","3.5","1.5","0.9","0.2","0.7","2.11"
"04fj8","Chris Boucher","TOR","PF,F,C","108","Goat","33","73.95","3.4",".464","0.8",".297",".777","9.4","2.2","3.9","0.3","0.6","0.9","0.5","0.60"
"03e6n","Jusuf Nurkic","POR","C","109","Yarrrr","31","73.71","5.7",".535","0.3",".268",".690","15.0","3.0","8.1","2.8","1.1","0.6","2.6","1.10"
"02xg9","Rudy Gobert","UTA","C","110","DOGS","33","73.42","5.5",".713","0.0",".000",".690","15.6","3.7","11.0","1.1","0.7","2.1","1.8","0.61"
"04qrw","Kevin Huerter","ATL","SG,G,SF,F","111","Thad","27","73.39","4.7",".454","2.2",".389",".808","12.1","0.4","3.0","2.7","0.7","0.4","1.2","2.23"
"04ewn","OG Anunoby","TOR","SG,G,SF,PF,F","112","Johnny","28","73.04","6.4",".443","2.4",".363",".754","17.1","1.5","4.0","2.6","1.5","0.5","1.7","1.56"
"05qtj","Deni Avdija","WAS","SG,G,SF,PF,F","113","TBB","25","72.87","3.0",".432","1.0",".317",".757","8.4","0.6","4.5","2.0","0.7","0.5","1.1","1.92"
"038ia","Seth Curry","PHI/BKN","PG,SG,G","114","DOGS","35","72.86","5.6",".487","2.5",".422",".872","15.0","0.3","2.8","3.6","0.8","0.2","1.7","2.11"
"042nf","Caris LeVert","IND/CLE","SG,G,SF,F","115","Yarrrr","31","72.72","6.5",".444","1.4",".320",".756","17.0","0.7","2.9","4.3","0.9","0.4","1.9","2.30"
"05qu9","Immanuel Quickley","NY","PG,G","116","Thad","26","72.7","3.6",".392","1.8",".346",".881","11.3","0.4","2.8","3.5","0.7","0.0","1.3","2.78"
"04jwd","Royce O'Neale","UTA","SF,PF,F","117","zambo","32","72.48","2.6",".457","1.5",".389",".804","7.4","0.8","3.9","2.5","1.1","0.4","1.0","2.42"
"02nfy","Jae Crowder","PHO","SF,PF,F","118","KamiGR","35","72.3","3.2",".399","1.9",".348",".789","9.4","0.4","4.8","1.9","1.4","0.4","0.8","2.25"
"04ewu","Josh Hart","NO/POR","SG,G,SF,F","119","PNB","31","72.02","5.3",".504","1.4",".343",".758","14.9","1.1","6.0","4.1","1.1","0.2","2.1","1.96"
"042ne","Malik Beasley","MIN","PG,SG,G","120","Goat","29","72","4.2",".391","3.0",".377",".817","12.1","0.3","2.5","1.5","0.5","0.2","0.5","2.70"
"04ewm","Jarrett Allen","CLE","C","121","PNB","27","71.78","6.6",".677","0.0",".100",".708","16.1","3.4","7.3","1.6","0.8","1.3","1.7","0.98"
"031lz","Steven Adams","MEM","C","122","erUP","32","71.43","2.8",".547","0.0",".000",".543","6.9","4.6","5.4","3.4","0.9","0.8","1.5","2.23"
"04qs4","Robert Williams","BOS","PF,F,C","123","zambo","28","71.26","4.4",".736","0.0",".000",".722","10.0","3.9","5.7","2.0","0.9","2.2","1.0","1.92"
"03byg","Montrezl Harrell","WAS/CHA","PF,F,C","124","Tzokos","32","71.17","5.0",".645","0.1",".235",".716","13.1","2.1","4.0","2.0","0.4","0.6","1.0","2.01"
"01eog","Patty Mills","BKN","PG,G","125","FA","37","71.17","4.0",".408","2.8",".400",".814","11.4","0.2","1.7","2.3","0.6","0.2","0.9","2.51"
"04qsj","Bruce Brown","BKN","PG,SG,G,SF,F","126","erUP","29","71.11","3.6",".506","0.5",".404",".758","9.0","1.4","3.4","2.1","1.1","0.7","0.8","2.64"
"042nt","Ivica Zubac","LAC","C","127","Kousos","29","70.98","4.1",".626","0.0","0",".727","10.3","2.9","5.6","1.6","0.5","1.0","1.5","1.05"
"03aq2","Jerami Grant","DET","SF,PF,F","128","Yarrrr","32","70.89","6.3",".426","1.9",".358",".838","19.2","0.6","3.5","2.4","0.9","1.0","1.8","1.31"
"04qs1","Anfernee Simons","POR","PG,SG,G","129","erUP","26","70.41","6.2",".443","3.1",".405",".888","17.3","0.5","2.2","3.9","0.5","0.1","2.0","1.92"
"02nf9","Andre Drummond","PHI/BKN","C","130","Tzokos","32","70.37","3.4",".570","0.0",".000",".524","7.9","3.1","6.2","1.8","1.1","0.9","1.6","1.14"
"01ens","Patrick Beverley","MIN","PG,SG,G","131","Goat","37","70.3","3.1",".406","1.4",".343",".722","9.2","1.1","3.1","4.6","1.2","0.9","1.3","3.67"
"04s00","Duncan Robinson","MIA","SG,G,SF,F","132","KamiGR","31","70.26","3.7",".399","2.9",".372",".836","10.9","0.3","2.3","1.6","0.5","0.2","0.8","2.15"
"049kd","Deandre Ayton","PHO","C","133","PNB","27","69.9","7.6",".634","0.1",".368",".746","17.2","2.6","7.7","1.4","0.7","0.7","1.6","0.92"
"04ewd","Luke Kennard","LAC","SG,G,SF,F","134","DЯ","29","69.76","4.1",".449","2.7",".449",".896","11.9","0.3","3.0","2.1","0.6","0.1","0.9","2.43"
"03ad5","Trey Lyles","DET/SAC","PF,F,C","135","FA","30","69.73","3.5",".466","0.9",".321",".802","10.5","1.2","3.9","1.2","0.4","0.4","1.0","1.21"
"02x1k","Justin Holiday","IND/SAC","SG,G,SF,F","136","FA","36","69.37","3.5",".394","2.4",".367",".806","10.1","0.4","2.2","1.7","0.8","0.4","0.9","1.83"
"05uij","Davion Mitchell","SAC","PG,SG,G","137","aris","27","69.22","4.7",".418","1.3",".316",".659","11.5","0.4","1.8","4.2","0.7","0.3","1.5","2.75"
"05uig","Josh Giddey","OKC","PG,SG,G","138","Yarrrr","23","69.14","5.2",".419","1.0",".263",".709","12.5","1.8","6.0","6.4","0.9","0.4","3.2","2.02"
"051pg","Cody Martin","CHA","SG,G,SF,F","139","Dcks","30","69.1","2.9",".482","0.9",".384",".701","7.7","1.2","2.9","2.5","1.2","0.5","0.9","2.93"
"05qtm","Precious Achiuwa","TOR","SF,PF,F,C","140","Kousos","26","68.82","3.6",".439","0.8",".359",".595","9.1","2.0","4.5","1.1","0.5","0.6","1.2","0.98"
"01uz7","Gordon Hayward","CHA","SG,G,SF,F","141","KamiGR","36","68.64","5.8",".459","1.8",".391",".846","15.9","0.8","3.8","3.6","1.0","0.4","1.7","2.19"
"0527h","Naz Reid","MIN","C","142","TBB","26","68.55","3.0",".489","0.7",".343",".765","8.3","1.3","2.6","0.9","0.5","0.9","1.1","0.87"
"031m4","Dennis Schroder","BOS/HOU","PG,G","143","aris","32","68.44","4.9",".431","1.3",".344",".853","13.5","0.5","2.8","4.6","0.8","0.1","2.2","2.07"
"04ex6","Isaiah Hartenstein","LAC","C","144","Guns","27","68.26","3.4",".626","0.2",".467",".689","8.3","1.7","3.2","2.4","0.7","1.1","1.2","1.90"
"027oy","Marcus Morris","LAC","PF,F,C","145","Goat","36","67.8","5.6",".434","1.9",".367",".872","15.4","0.5","3.9","2.1","0.5","0.3","1.3","1.64"
"04qrv","Lonnie Walker","SA","SG,G,SF,F","146","DЯ","27","67.78","4.4",".407","1.6",".314",".784","12.1","0.3","2.3","2.2","0.6","0.3","1.0","2.14"
"005ke","Danilo Gallinari","ATL","SF,PF,F","147","KamiGR","37","67.59","3.9",".434","1.7",".381",".904","11.7","0.5","4.1","1.5","0.4","0.2","0.6","2.66"
"051p2","Grant Williams","BOS","SF,PF,F","148","FA","27","67.59","2.7",".475","1.4",".411",".905","7.8","0.8","2.7","1.0","0.5","0.7","0.8","1.26"
"05qu0","Jaden McDaniels","MIN","PF,F","149","TBB","25","67.56","3.6",".460","1.1",".317",".803","9.2","1.1","3.1","1.1","0.7","0.8","1.1","1.05"
"03e79","Dwight Powell","DAL","PF,F,C","150","SaraS","34","67.53","3.3",".671","0.2",".351",".783","8.7","2.1","2.8","1.2","0.5","0.5","0.8","1.52"
"03aq3","Kyle Anderson","MEM","SF,PF,F,C","151","TBB","32","67.48","3.0",".446","0.5",".330",".638","7.6","1.0","4.3","2.7","1.1","0.7","1.0","2.58"
"031m9","Mason Plumlee","CHA","PF,F,C","152","KamiGR","36","67.13","2.8",".641","0.0",".000",".392","6.5","2.4","5.3","3.1","0.8","0.7","1.4","2.26"
"04qry","Grayson Allen","MIL","SG,G,SF,F","153","FA","30","66.86","3.9",".448","2.4",".409",".865","11.1","0.5","2.9","1.5","0.7","0.3","0.7","2.33"
"05qub","Isaiah Stewart","DET","PF,F,C","154","DЯ","24","66.78","3.5",".510","0.2",".326",".718","8.3","3.2","5.5","1.2","0.3","1.1","1.2","0.96"
"0527l","Luguentz Dort","OKC","SG,G,SF,F","155","SaraS","26","66.68","5.7",".404","2.5",".332",".843","17.2","0.7","3.4","1.7","0.9","0.4","1.7","1.00"
