"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"03e75","Nikola Jokic","DEN","PF,F,C","1","Yarrrr","31","100","10.3",".583","1.3",".337",".810","27.1","2.8","11.0","7.9","1.5","0.9","3.8","2.08"
"03ad3","Karl-Anthony Towns","MIN","C","2","zambo","30","98.98","8.7",".529","2.0",".410",".822","24.6","2.6","7.2","3.6","1.0","1.1","3.1","1.19"
"03xmv","Jayson Tatum","BOS","SF,PF,F","3","Sam🗻🥃","28","96.91","9.3",".453","3.0",".353",".853","26.9","1.1","6.9","4.4","1.0","0.6","2.9","1.54"
"03al2","Joel Embiid","PHI","PF,F,C","4","DOGS","32","96.9","9.8",".499","1.4",".371",".814","30.6","2.1","9.6","4.2","1.1","1.5","3.1","1.33"
"05qto","LaMelo Ball","CHA","PG,SG,G","5","Brid","24","96.31","7.2",".429","2.9",".389",".872","20.1","1.4","5.2","7.6","1.6","0.4","3.3","2.33"
"04qrp","Miles Bridges","CHA","SF,PF,F","6","PNB","28","95.54","7.5",".491","1.9",".331",".802","20.2","1.1","5.9","3.8","0.9","0.8","1.9","2.00"
"031m2","Giannis Antetokounmpo","MIL","PF,F,C","7","DOGS","31","94.66","10.3",".553","1.1",".293",".722","29.9","2.0","9.6","5.8","1.1","1.4","3.3","1.77"
"04kj6","Luka Doncic","DAL","PG,SG,G","8","Brid","27","93.51","9.9",".457","3.1",".353",".744","28.4","0.9","8.3","8.7","1.2","0.6","4.5","1.95"
"0011e","LeBron James","LAL","PG,SG,G,SF,PF,F","9","KamiGR","41","93.28","11.4",".524","2.9",".359",".756","30.3","1.1","7.1","6.2","1.3","1.1","3.5","1.78"
"027p0","Nikola Vucevic","CHI","C","10","Johnny","35","92.88","7.5",".473","1.4",".314",".760","17.6","1.9","9.1","3.2","1.0","1.0","1.9","1.74"
"05qug","Anthony Edwards","MIN","SG,G,SF,F","11","SaraS","24","92.04","7.6",".441","3.0",".357",".786","21.3","0.9","3.9","3.8","1.5","0.6","2.6","1.45"
"042nm","Pascal Siakam","TOR","PF,F,C","12","PNB","31","91.6","8.8",".494","1.1",".344",".749","22.8","1.9","6.6","5.3","1.3","0.6","2.7","1.99"
